,rpersona,reduca
475,0051190461105,13.0
476,0051190481101,0.0
477,0051190481102,10.0
478,0051190481103,8.0
479,0051190481104,0.0
480,0051190481105,0.0
481,0051190491101,11.0
482,0051190491102,0.0
483,0051190491103,15.0
484,0051190491104,11.0
485,0051190491105,0.0
486,0051190961101,1.0
487,0051190961102,5.0
488,0051190961103,11.0
489,0051190971101,10.0
490,0051191001101,11.0
491,0051191001102,12.0
492,0051191001103,0.0
493,0051191011101,14.0
494,0051191011102,11.0
495,0051191011103,0.0
496,0051191011104,5.0
497,0051201091101,5.0
498,0051201091102,5.0
499,0051201091103,0.0
500,0051201101101,
501,0051201111101,11.0
502,0051201111102,8.0
503,0051201121101,
504,0051201121102,0.0
505,0051202241101,0.0
506,0051202241102,0.0
507,0051202241103,12.0
508,0051202251101,2.0
509,0051202261101,5.0
510,0051202261102,16.0
511,0051202271101,9.0
512,0051202271102,0.0
513,0051202271103,3.0
514,0051210351101,0.0
515,0051210351102,0.0
516,0051210351103,7.0
517,0051210351104,0.0
518,0051210351105,0.0
519,0051210351106,1.0
520,0051210361101,
521,0051210361102,7.0
522,0051210361103,11.0
523,0051210371101,0.0
524,0051210371102,9.0
525,0051210381101,0.0
526,0051210381102,0.0
527,0051210381103,8.0
528,0051210381104,0.0
529,0051211151101,5.0
530,0051211151102,5.0
531,0051211151103,0.0
532,0051211161101,11.0
533,0051211161102,0.0
534,0051211161103,11.0
535,0051211161104,9.0
536,0051211161105,0.0
537,0051211161106,0.0
538,0051211161107,3.0
539,0051211161108,
540,0051211181101,5.0
541,0051211181102,0.0
542,0051280071101,2.0
543,0051280071102,0.0
544,0051280231101,5.0
545,0051280231102,5.0
546,0051280551101,5.0
547,0051280781101,
548,0051280941101,5.0
549,0051280941102,5.0
550,0051310011101,11.0
551,0051310011102,11.0
552,0051310011103,11.0
553,0051310011104,8.0
554,0051310011105,0.0
555,0051310241101,4.0
556,0051310351101,5.0
557,0051310571101,0.0
558,0051310571102,0.0
