,IRUC,CodSector,Activos,Clave,Utility,ROA
68,00000010470,11,11.598538,061,0.21691,1.8701494964279117
69,00000010618,11,16.212521,061,0.636748,3.9275076343771587
70,00000017880,11,82.55524,061,3.142634,3.8067044563131307
71,00000024778,11,1041.363047,061,26.857308,2.5790532972503293
72,00000021484,11,36.418034,061,3.579523,9.82898472773132
73,00000025024,11,22.358683,061,1.581314,7.07248275759355
74,00000025471,11,32.406031,061,0.392212,1.2103055755269754
75,00000025462,11,195.746089,061,4.090921,2.089911998190676
76,00000026036,11,225.173975,061,-17.555237,-7.796299283698305
77,00000010011,11,119.674498,061,1.609822,1.3451671215700443
78,00000010544,11,36.600943,061,3.74821,10.240747075833537
79,00000009861,11,44.347287,061,0.003479,0.007844899283241384
80,00000010356,11,264.268929,061,2.581513,0.9768507443415718
81,00000011296,11,10.116359,061,1.685234,16.658503321204794
82,00000010283,11,49.150714,061,1.309566,2.6643885580176923
83,00000011327,11,91.188467,061,2.701037,2.9620379515756086
84,00000015347,11,114.444444,061,13.153141,11.493035869875868
85,00000016388,11,25.293572,061,1.188326,4.6981343718475195
86,00000014618,11,32.470748,061,3.906456,12.030692979416427
87,00000015575,11,570.876902,061,60.075322,10.523340809469289
88,00000010302,11,423.118515,061,56.219728,13.286993125318567
89,00000011985,11,147.465604,061,45.803573,31.06051293154436
90,00000026226,11,126.818206,061,2.631325,2.0748795326753005
91,00000029068,11,351.749262,061,-19.499556,-5.5435954262215335
92,00000013386,11,73.843348,061,3.331582,4.5116887170392115
93,00000009940,11,310.159018,061,12.311413,3.96938740630137
94,00000016423,11,266.888677,061,10.644726,3.988451709399422
95,00000120909,11,10.332909,061,-0.766172,-7.41487223007577
96,00000009999,11,68.029409,061,6.939279,10.20041053127479
97,00000009872,11,38.52394,061,1.886015,4.895696026938054
98,00000010024,11,28.200528,061,1.61648,5.732091257298444
99,00000010337,11,565.256353,061,73.391915,12.98382841882009
100,00000010098,11,587.371947,061,13.589553,2.3136196867093486
101,00000027700,11,117.956096,061,4.438965,3.7632349242891183
102,00000013355,11,299.700409,061,12.846055,4.286298788467787
103,00000121195,11,52.727272,061,1.784696,3.3847683225485286
104,00000010795,11,238.607543,061,2.44554,1.0249214962998885
105,00000018708,11,1634.078511,061,141.060905,8.632443548485046
106,00000010604,11,67.55358,061,0.387591,0.5737534561454775
107,00000011294,11,8.40312,061,0.006726,0.08004169879758948
108,00000014263,11,22.747235,061,1.657563,7.28687684459232
109,00000021676,11,24.901654,061,-4.566345,-18.337516857313975
110,00000021509,11,18.210365,061,1.105623,6.071393956134323
111,00000026926,11,86.478114,061,-10.297974,-11.908185231699202
112,00000011661,11,43.710258,061,0.435418,0.9961460305267473
113,00000013080,11,306.864635,061,8.089007,2.636017995361375
114,00000011887,11,171.891542,061,-9.3603,-5.445468631609577
115,00000027664,11,174.52476,061,0.723822,0.4147388599760859
116,00000117495,11,5.95498,061,1.053686,17.694198805033768
117,00000021500,11,8.891311,061,0.224024,2.519583445006029
118,00000010299,11,26.289008,061,1.483328,5.642388636345654
119,00000025528,11,13.08601,061,0.007376,0.05636553846436003
120,00000025758,11,28.797382,061,4.232462,14.697384644201339
121,00000015279,11,426.313387,061,48.562859,11.39135210877157
122,00000023928,11,6.732899,061,1.066335,15.837680024607529
123,00000024963,11,21.364089,061,0.882595,4.131208215805504
124,00000026929,11,46.832575,061,4.257801,9.091537247311301
125,00000012987,11,48.889896,061,-3.234455,-6.615794396453616
126,00000009847,11,60.774909,061,3.032923,4.9904196483453385
127,00000010231,11,145.450046,061,21.433227,14.735799396034569
128,00000016420,11,61.92818,061,2.590432,4.182961617796615
129,00000025864,11,40.233069,061,2.700223,6.7114517164971925
130,00000028198,11,115.22505,061,5.229945,4.53889583905583
131,00000016885,11,410.856927,061,11.367023,2.7666621281037815
132,00000019274,11,2751.069498,061,93.782016,3.4089293661311935
133,00000016990,11,24.967337,061,3.011549,12.061955185689206
